Violation ID,Vehicle Class,Frame No,Timestamp
5,2,113,2025-07-25 19:52:28
4,2,140,2025-07-25 19:52:29
8,2,2,2025-07-25 19:52:53
4,2,173,2025-07-25 19:53:06
131,2,256,2025-07-25 19:53:12
827,2,724,2025-07-25 19:53:50
843,2,745,2025-07-25 19:53:52
844,2,760,2025-07-25 19:53:53
898,2,838,2025-07-25 19:53:59
961,2,871,2025-07-25 19:54:02
971,2,891,2025-07-25 19:54:04
949,2,921,2025-07-25 19:54:06
986,2,922,2025-07-25 19:54:06
889,2,931,2025-07-25 19:54:07
980,2,939,2025-07-25 19:54:08
1011,2,940,2025-07-25 19:54:08
1028,2,958,2025-07-25 19:54:09
1040,2,973,2025-07-25 19:54:10
1049,2,973,2025-07-25 19:54:10
1075,2,973,2025-07-25 19:54:10
1076,2,973,2025-07-25 19:54:10
888,2,976,2025-07-25 19:54:10
1090,2,982,2025-07-25 19:54:11
1143,2,994,2025-07-25 19:54:12
1162,2,1009,2025-07-25 19:54:13
1169,2,1009,2025-07-25 19:54:13
1150,2,1012,2025-07-25 19:54:13
1022,5,1023,2025-07-25 19:54:14
1182,7,1023,2025-07-25 19:54:14
1140,2,1027,2025-07-25 19:54:15
1210,2,1042,2025-07-25 19:54:16
1211,2,1047,2025-07-25 19:54:16
1183,2,1054,2025-07-25 19:54:17
1184,2,1057,2025-07-25 19:54:17
1109,2,1065,2025-07-25 19:54:18
1230,2,1078,2025-07-25 19:54:19
1244,2,1084,2025-07-25 19:54:19
1245,2,1084,2025-07-25 19:54:19
1229,2,1087,2025-07-25 19:54:20
1243,2,1089,2025-07-25 19:54:20
1249,2,1096,2025-07-25 19:54:20
961,2,918,2025-07-25 20:06:40
980,2,946,2025-07-25 20:06:42
